wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
75500000;37750000;True;3;1;;;;
75600000;37800000;True;3;1;;;;
75700000;37850000;True;2;1;;;;
75800000;37900000;True;2;1;;;;
75900000;37950000;True;3;1;;;;
76000000;38000000;True;3;1;;;;
76100000;38050000;True;2;1;;;;
76200000;38100000;True;2;1;;;;
76300000;38150000;True;2;1;;;;
76400000;38200000;True;2;1;;;;
76500000;38250000;True;0;1;;;;
76600000;38300000;True;3;1;;;;
76700000;38350000;True;3;1;;;;
76800000;38400000;True;3;1;;;;
76900000;38450000;True;1;1;;;;
77000000;38500000;True;2;1;;;;
77100000;38550000;True;1;1;;;;
77200000;38600000;True;3;1;;;;
77300000;38650000;True;1;1;;;;
77400000;38700000;True;3;1;;;;
77500000;38750000;True;2;1;;;;
77600000;38800000;True;2;1;;;;
77700000;38850000;True;3;1;;;;
77800000;38900000;True;4;1;;;;
77900000;38950000;True;2;1;;;;
78000000;39000000;True;2;1;;;;
78100000;39050000;True;2;1;;;;
